Date Time,Order Number,Activity,Server
2024-05-26 16:01:00,2,Seated,Barista D
2024-05-26 16:01:00,3,Seated,Barista E
2024-05-26 16:02:00,0,Seated,Barista C
2024-05-26 16:02:00,1,Seated,Barista B
2024-05-26 16:03:00,7,Seated,Barista F
2024-05-26 16:03:00,10,Seated,Barista A
2024-05-26 16:03:00,2,Order Taken,Barista D
2024-05-26 16:03:00,3,Order Taken,Barista E
2024-05-26 16:05:00,0,Order Taken,Barista C
2024-05-26 16:05:00,7,Order Taken,Barista F
2024-05-26 16:05:00,10,Order Taken,Barista A
2024-05-26 16:06:00,1,Order Taken,Barista B
2024-05-26 16:09:00,2,Drink Prepared,Barista D
2024-05-26 16:10:00,3,Drink Prepared,Barista E
2024-05-26 16:10:00,7,Drink Prepared,Barista F
2024-05-26 16:10:00,10,Drink Prepared,Barista A
2024-05-26 16:10:00,1,Drink Prepared,Barista B
2024-05-26 16:10:00,2,Drink Served,Barista D
2024-05-26 16:11:00,7,Drink Served,Barista F
2024-05-26 16:11:00,1,Drink Served,Barista B
2024-05-26 16:12:00,0,Drink Prepared,Barista C
2024-05-26 16:12:00,3,Drink Served,Barista E
2024-05-26 16:13:00,10,Drink Served,Barista A
2024-05-26 16:14:00,7,Snack Prepared,Barista F
2024-05-26 16:14:00,1,Snack Prepared,Barista B
2024-05-26 16:14:00,3,Snack Prepared,Barista E
2024-05-26 16:15:00,2,Snack Prepared,Barista D
2024-05-26 16:15:00,0,Drink Served,Barista C
2024-05-26 16:15:00,7,Snack Served,Barista F
2024-05-26 16:15:00,3,Snack Served,Barista E
2024-05-26 16:16:00,10,Snack Prepared,Barista A
2024-05-26 16:16:00,1,Snack Served,Barista B
2024-05-26 16:16:00,7,Bill Delivered,Barista F
2024-05-26 16:16:00,3,Bill Delivered,Barista E
2024-05-26 16:17:00,1,Bill Delivered,Barista B
2024-05-26 16:18:00,2,Snack Served,Barista D
2024-05-26 16:18:00,7,Bill Paid,Barista F
2024-05-26 16:18:00,3,Bill Paid,Barista E
2024-05-26 16:19:00,0,Snack Prepared,Barista C
2024-05-26 16:19:00,10,Snack Served,Barista A
2024-05-26 16:19:00,2,Bill Delivered,Barista D
2024-05-26 16:19:00,15,Seated,Barista F
2024-05-26 16:20:00,1,Bill Paid,Barista B
2024-05-26 16:20:00,0,Snack Served,Barista C
2024-05-26 16:20:00,2,Bill Paid,Barista D
2024-05-26 16:21:00,16,Seated,Barista E
2024-05-26 16:21:00,10,Bill Delivered,Barista A
2024-05-26 16:21:00,0,Bill Delivered,Barista C
2024-05-26 16:22:00,15,Order Taken,Barista F
2024-05-26 16:22:00,4,Seated,Barista D
2024-05-26 16:22:00,0,Bill Paid,Barista C
2024-05-26 16:23:00,8,Seated,Barista B
2024-05-26 16:23:00,16,Order Taken,Barista E
2024-05-26 16:24:00,10,Bill Paid,Barista A
2024-05-26 16:25:00,11,Seated,Barista C
2024-05-26 16:25:00,8,Order Taken,Barista B
2024-05-26 16:26:00,4,Order Taken,Barista D
2024-05-26 16:27:00,21,Seated,Barista A
2024-05-26 16:28:00,15,Drink Prepared,Barista F
2024-05-26 16:30:00,16,Drink Prepared,Barista E
2024-05-26 16:30:00,11,Order Taken,Barista C
2024-05-26 16:30:00,8,Drink Prepared,Barista B
2024-05-26 16:30:00,21,Order Taken,Barista A
2024-05-26 16:30:00,15,Drink Served,Barista F
2024-05-26 16:31:00,16,Drink Served,Barista E
2024-05-26 16:32:00,8,Drink Served,Barista B
2024-05-26 16:33:00,4,Drink Prepared,Barista D
2024-05-26 16:33:00,21,Drink Prepared,Barista A
2024-05-26 16:33:00,16,Snack Prepared,Barista E
2024-05-26 16:34:00,15,Snack Prepared,Barista F
2024-05-26 16:34:00,21,Drink Served,Barista A
2024-05-26 16:34:00,16,Snack Served,Barista E
2024-05-26 16:35:00,15,Snack Served,Barista F
2024-05-26 16:36:00,11,Drink Prepared,Barista C
2024-05-26 16:36:00,4,Drink Served,Barista D
2024-05-26 16:36:00,16,Bill Delivered,Barista E
2024-05-26 16:36:00,15,Bill Delivered,Barista F
2024-05-26 16:37:00,8,Snack Prepared,Barista B
2024-05-26 16:38:00,21,Snack Prepared,Barista A
2024-05-26 16:38:00,11,Drink Served,Barista C
2024-05-26 16:38:00,15,Bill Paid,Barista F
2024-05-26 16:38:00,8,Snack Served,Barista B
2024-05-26 16:39:00,16,Bill Paid,Barista E
2024-05-26 16:39:00,8,Bill Delivered,Barista B
2024-05-26 16:40:00,4,Snack Prepared,Barista D
2024-05-26 16:40:00,20,Seated,Barista F
2024-05-26 16:41:00,21,Snack Served,Barista A
2024-05-26 16:41:00,11,Snack Prepared,Barista C
2024-05-26 16:42:00,8,Bill Paid,Barista B
2024-05-26 16:42:00,17,Seated,Barista E
2024-05-26 16:43:00,4,Snack Served,Barista D
2024-05-26 16:43:00,20,Order Taken,Barista F
2024-05-26 16:43:00,21,Bill Delivered,Barista A
2024-05-26 16:44:00,11,Snack Served,Barista C
2024-05-26 16:44:00,17,Order Taken,Barista E
2024-05-26 16:44:00,13,Seated,Barista B
2024-05-26 16:44:00,4,Bill Delivered,Barista D
2024-05-26 16:45:00,21,Bill Paid,Barista A
2024-05-26 16:45:00,4,Bill Paid,Barista D
2024-05-26 16:46:00,11,Bill Delivered,Barista C
2024-05-26 16:46:00,35,Seated,Barista A
2024-05-26 16:47:00,5,Seated,Barista D
2024-05-26 16:48:00,20,Drink Prepared,Barista F
2024-05-26 16:49:00,13,Order Taken,Barista B
2024-05-26 16:49:00,11,Bill Paid,Barista C
2024-05-26 16:50:00,12,Seated,Barista C
2024-05-26 16:51:00,17,Drink Prepared,Barista E
2024-05-26 16:51:00,35,Order Taken,Barista A
2024-05-26 16:51:00,20,Drink Served,Barista F
2024-05-26 16:52:00,5,Order Taken,Barista D
2024-05-26 16:52:00,17,Drink Served,Barista E
2024-05-26 16:53:00,12,Order Taken,Barista C
2024-05-26 16:54:00,20,Snack Prepared,Barista F
2024-05-26 16:55:00,17,Snack Prepared,Barista E
2024-05-26 16:55:00,20,Snack Served,Barista F
2024-05-26 16:56:00,13,Drink Prepared,Barista B
2024-05-26 16:56:00,5,Drink Prepared,Barista D
2024-05-26 16:56:00,17,Snack Served,Barista E
2024-05-26 16:56:00,20,Bill Delivered,Barista F
2024-05-26 16:57:00,35,Drink Prepared,Barista A
2024-05-26 16:57:00,5,Drink Served,Barista D
2024-05-26 16:57:00,17,Bill Delivered,Barista E
2024-05-26 16:58:00,13,Drink Served,Barista B
2024-05-26 16:58:00,20,Bill Paid,Barista F
2024-05-26 16:59:00,35,Drink Served,Barista A
2024-05-26 16:59:00,26,Seated,Barista F
2024-05-26 17:00:00,12,Drink Prepared,Barista C
2024-05-26 17:00:00,5,Snack Prepared,Barista D
2024-05-26 17:00:00,17,Bill Paid,Barista E
2024-05-26 17:00:00,13,Snack Prepared,Barista B
2024-05-26 17:01:00,5,Snack Served,Barista D
2024-05-26 17:01:00,13,Snack Served,Barista B
2024-05-26 17:02:00,35,Snack Prepared,Barista A
2024-05-26 17:02:00,5,Bill Delivered,Barista D
2024-05-26 17:03:00,26,Order Taken,Barista F
2024-05-26 17:03:00,12,Drink Served,Barista C
2024-05-26 17:03:00,25,Seated,Barista E
2024-05-26 17:03:00,13,Bill Delivered,Barista B
2024-05-26 17:03:00,35,Snack Served,Barista A
2024-05-26 17:05:00,5,Bill Paid,Barista D
2024-05-26 17:05:00,12,Snack Prepared,Barista C
2024-05-26 17:05:00,25,Order Taken,Barista E
2024-05-26 17:05:00,13,Bill Paid,Barista B
2024-05-26 17:05:00,35,Bill Delivered,Barista A
2024-05-26 17:06:00,22,Seated,Barista B
2024-05-26 17:07:00,26,Drink Prepared,Barista F
2024-05-26 17:07:00,12,Snack Served,Barista C
2024-05-26 17:07:00,6,Seated,Barista D
2024-05-26 17:08:00,35,Bill Paid,Barista A
2024-05-26 17:09:00,26,Drink Served,Barista F
2024-05-26 17:09:00,12,Bill Delivered,Barista C
2024-05-26 17:10:00,6,Order Taken,Barista D
2024-05-26 17:11:00,22,Order Taken,Barista B
2024-05-26 17:11:00,37,Seated,Barista A
2024-05-26 17:12:00,25,Drink Prepared,Barista E
2024-05-26 17:12:00,26,Snack Prepared,Barista F
2024-05-26 17:12:00,12,Bill Paid,Barista C
2024-05-26 17:13:00,37,Order Taken,Barista A
2024-05-26 17:13:00,25,Drink Served,Barista E
2024-05-26 17:13:00,26,Snack Served,Barista F
2024-05-26 17:14:00,22,Drink Prepared,Barista B
2024-05-26 17:14:00,26,Bill Delivered,Barista F
2024-05-26 17:15:00,6,Drink Prepared,Barista D
2024-05-26 17:15:00,19,Seated,Barista C
2024-05-26 17:15:00,25,Snack Prepared,Barista E
2024-05-26 17:15:00,26,Bill Paid,Barista F
2024-05-26 17:16:00,37,Drink Prepared,Barista A
2024-05-26 17:16:00,22,Drink Served,Barista B
2024-05-26 17:16:00,6,Drink Served,Barista D
2024-05-26 17:17:00,19,Order Taken,Barista C
2024-05-26 17:17:00,25,Snack Served,Barista E
2024-05-26 17:17:00,36,Seated,Barista F
